interaction_types;drug_name
agonist,modulator;ALDESLEUKIN
agonist;ALDOSTERONE
inhibitor;ALDOXORUBICIN
inhibitor;ALECTINIB
inhibitor;ALECTINIB HYDROCHLORIDE
inhibitor;ALEFACEPT
agonist;ALEGLITAZAR
agonist;ALEMCINAL
antibody;ALEMTUZUMAB
inhibitor;ALEMTUZUMAB
inhibitor;ALENDRONATE SODIUM
inhibitor;ALENDRONIC ACID
inhibitor;ALEPLASININ
agonist;ALFACALCIDOL
agonist;ALFENTANIL
agonist;ALFENTANIL HYDROCHLORIDE
inhibitor;ALFLUTINIB
antagonist;ALFUZOSIN
inhibitor;ALFUZOSIN
agonist;ALFUZOSIN HYDROCHLORIDE
inhibitor;ALIROCUMAB
inhibitor;ALISERTIB
inhibitor;ALISKIREN
inhibitor;ALISKIREN FUMARATE
agonist;ALITRETINOIN
inhibitor;ALITRETINOIN
antagonist;ALIZAPRIDE
activator;ALLICIN
blocker;ALLICIN
inhibitor;ALLITINIB
inhibitor;ALLOPURINOL
inhibitor;ALLOPURINOL SODIUM
antagonist;ALLOXAZINE
agonist;ALLYLESTRENOL
binder;ALMITRINE
antagonist;ALMOREXANT
agonist;ALMOTRIPTAN
agonist;ALMOTRIPTAN MALATE
agonist;ALNIDITAN
inhibitor;ALOGLIPTIN
inhibitor;ALOGLIPTIN BENZOATE
inhibitor;ALOISINE
antagonist;ALOSETRON
antagonist;ALOSETRON HYDROCHLORIDE
inhibitor;ALOXISTATIN
inhibitor;ALPELISIB
allosteric modulator;ALPRAZOLAM
ligand;ALPRAZOLAM
positive modulator;ALPRAZOLAM
antagonist;ALPRENOLOL
activator;ALPROSTADIL
agonist;ALPROSTADIL
antagonist;ALSEROXYLON
inhibitor;ALSTERPAULLONE
activator;ALTEPLASE
agonist;ALTINICLINE
inhibitor;ALTIRATINIB
inhibitor;ALUMINUM CHLORIDE
inhibitor;ALVELESTAT
antagonist;ALVERINE
inhibitor;ALVESPIMYCIN
antagonist;ALVIMOPAN
inhibitor;ALVOCIDIB
antagonist;AM-211
antagonist;AM-461
inhibitor;AMA0076
agonist;AMANTADINE
antagonist;AMANTADINE
blocker;AMANTADINE
antagonist;AMANTADINE HYDROCHLORIDE
inhibitor;AMATUXIMAB
inhibitor;AMBENONIUM
inhibitor;AMBENONIUM CHLORIDE
antagonist;AMBRISENTAN
agonist;AMCINONIDE
inhibitor;AME-133V
antagonist;AMELUBANT
antagonist;AMESERGIDE
antagonist;AMG-108
inhibitor;AMG-208
inhibitor;AMG-319
inhibitor;AMG-337
antagonist;AMG-517
inhibitor;AMG-548
inhibitor;AMG-714
antibody;AMG-888
inhibitor;AMG-900
agonist;AMIBEGRON
agonist;AMIBEGRON HYDROCHLORIDE
blocker;AMIFAMPRIDINE
inducer;AMIFOSTINE
blocker;AMILORIDE
inhibitor;AMILORIDE
blocker;AMILORIDE HYDROCHLORIDE
inhibitor;AMINOCAPROIC ACID
inhibitor;AMINOETHOXYVINYLGLYCINE
inhibitor;AMINOGLUTETHIMIDE
activator;AMINOPHYLLINE
antagonist;AMINOPHYLLINE
inhibitor;AMINOPHYLLINE
inhibitor;AMINOSALICYLATE POTASSIUM
inhibitor;AMINOSALICYLATE SODIUM
agonist;AMIODARONE
blocker;AMIODARONE
inhibitor;AMIODARONE
negative modulator,inhibitor;AMIODARONE
blocker;AMIODARONE HYDROCHLORIDE
modulator;AMISELIMOD HYDROCHLORIDE
antagonist;AMISULPRIDE
agonist;AMITRIPTYLINE
agonist,activator;AMITRIPTYLINE
agonist,antagonist;AMITRIPTYLINE
antagonist;AMITRIPTYLINE
antagonist,inhibitor;AMITRIPTYLINE
binder;AMITRIPTYLINE
blocker;AMITRIPTYLINE
inhibitor;AMITRIPTYLINE
inhibitor,inducer;AMITRIPTYLINE
ligand;AMITRIPTYLINE
inhibitor;AMITRIPTYLINE HYDROCHLORIDE
antagonist;AMLEXANOX
inhibitor;AMLEXANOX
inhibitor;AMLODIPINE
blocker;AMLODIPINE BESYLATE
blocker;AMLODIPINE MALEATE
antagonist;AMMONIUM TRICHLOROTELLURATE
inhibitor;AMMONIUM TRICHLOROTELLURATE
antagonist;AMOBARBITAL
potentiator;AMOBARBITAL
inhibitor;AMODIAQUINE
antagonist;AMOXAPINE
binder;AMOXAPINE
inhibitor;AMOXAPINE
antibody;AMP-224
agonist;AMP579
antagonist;AMPEROZIDE
activator;AMPHETAMINE
agonist;AMPHETAMINE
binder;AMPHETAMINE
inhibitor;AMPHETAMINE
negative modulator;AMPHETAMINE
stimulator;AMPHETAMINE
inhibitor;AMRUBICIN
inhibitor;AMRUBICIN HYDROCHLORIDE
inhibitor;AMSACRINE
negative modulator;AMSACRINE
agonist;AMTHAMINE
inhibitor;AMUVATINIB
agonist;AMYLIN
antagonist;AMYLMETACRESOL
blocker;AMYLOCAINE
inhibitor;AN-9
inhibitor;ANACETRAPIB
inhibitor;ANAGRELIDE
inhibitor;ANAGRELIDE HYDROCHLORIDE
antagonist;ANAKINRA
agonist;ANAMORELIN HYDROCHLORIDE
activator;ANANDAMIDE
agonist;ANANDAMIDE
allosteric modulator;ANANDAMIDE
blocker;ANANDAMIDE
inhibitor;ANANDAMIDE
inhibitor;ANASTROZOLE
antagonist;ANATIBANT
agonist;ANCESTIM
antagonist;ANCRIVIROC
antibody;ANDECALIXIMAB
inhibitor;ANDECALIXIMAB
activator;ANDOLAST
agonist;ANDROSTANEDIOL
agonist;ANDROSTANOLONE
inducer;ANDROSTENEDIONE
positive modulator;ANDROSTENEDIONE
antibody;ANIFROLUMAB
agonist;ANILERIDINE
agonist;ANILERIDINE HYDROCHLORIDE
agonist;ANILERIDINE PHOSPHATE
allosteric modulator;ANIRACETAM
inhibitor;ANISINDIONE
antagonist;ANISOTROPINE METHYLBROMIDE
activator;ANISTREPLASE
inhibitor;ANLOTINIB
inhibitor;ANRUKINZUMAB
antagonist;ANTALARMIN
inhibitor;ANTAQ
antagonist;ANTAZOLINE
antagonist;ANTAZOLINE PHOSPHATE
agonist;ANTHRALIN
antagonist;ANTHRALIN
agonist;ANTI-INHIBITOR COAGULANT COMPLEX
cleavage;ANTI-INHIBITOR COAGULANT COMPLEX
inhibitor;ANTIPYRINE
antagonist;ANTI-THYMOCYTE GLOBULIN (RABBIT)
binder;ANTI-THYMOCYTE GLOBULIN (RABBIT)
inhibitor;ANTI-THYMOCYTE GLOBULIN (RABBIT)
inhibitor;ANTRAFENINE
agonist;APADENOSON
antagonist;APAFANT
antagonist;APALUTAMIDE
inhibitor;APAMIN
inhibitor;APATORSEN
antagonist;APC-100
inhibitor;APICIDIN
activator;APIGENIN
inhibitor;APILIMOD
partial agonist;APIMOSTINEL
inhibitor;APITOLISIB
inhibitor;APIXABAN
antagonist;APLAVIROC
antagonist;APLAVIROC HYDROCHLORIDE
partial agonist;APLINDORE FUMARATE
partial agonist;APN1125
antibody;APOMAB
activator;APOMORPHINE
agonist;APOMORPHINE
antagonist;APOMORPHINE
agonist;APOMORPHINE HYDROCHLORIDE
agonist;APRACLONIDINE
agonist;APRACLONIDINE HYDROCHLORIDE
inhibitor;APRATASTAT
antagonist;APREMILAST
inhibitor;APREMILAST
antagonist;APREPITANT
inhibitor;APRICOXIB
inhibitor;APRINDINE
antisense oligonucleotide;APRINOCARSEN
antagonist;APROBARBITAL
potentiator;APROBARBITAL
antagonist;APROCITENTAN
inhibitor;APROTININ
agonist;AQW051
partial agonist;AQW051
inhibitor;AR-12
ligand;ARACHIDONIC ACID
agonist;ARACHIDONOYL GLYCINE
agonist;ARANIDIPINE
antagonist;ARANIDIPINE
agonist;ARBACLOFEN
agonist;ARBACLOFEN PLACARBIL
agonist;ARBUTAMINE
inhibitor;ARBUTIN
activator;ARCAINE
activator;ARDEPARIN SODIUM
agonist;ARECOLINE
agonist;ARFORMOTEROL
agonist;ARFORMOTEROL TARTRATE
inhibitor;ARGATROBAN
agonist;ARGININE
inhibitor;ARHALOFENATE
modulator;ARHALOFENATE
inhibitor;ARIMIDEX
agonist;ARIPIPRAZOLE
antagonist;ARIPIPRAZOLE
antagonist,ligand;ARIPIPRAZOLE
antagonist,ligand,partial agonist;ARIPIPRAZOLE
antagonist,partial agonist;ARIPIPRAZOLE
inverse agonist;ARIPIPRAZOLE
ligand;ARIPIPRAZOLE
modulator;ARIPIPRAZOLE
partial agonist;ARIPIPRAZOLE
antagonist;ARIPIPRAZOLE LAUROXIL
partial agonist;ARIPIPRAZOLE LAUROXIL
antagonist,inhibitor;ARMODAFINIL
inhibitor;ARMODAFINIL
antagonist;AROTINOLOL
agonist;ARPROMIDINE
antagonist;ARPROMIDINE
inhibitor;ARQ-736
inhibitor;ARRY-300
inhibitor;ARRY-382
antagonist;ARRY-502
inhibitor;ARRY-797
inhibitor;ARSENIC TRIOXIDE
ligand;ARTENIMOL
blocker;ARTICAINE HYDROCHLORIDE
inhibitor;AS-602868
inhibitor;AS-703988
antagonist;ASAPIPRANT
allosteric modulator;ASCIMINIB
inhibitor;ASCIMINIB
inhibitor;ASCRINVACUMAB
inhibitor;ASELIZUMAB
agonist;ASENAPINE
antagonist;ASENAPINE
antagonist;ASENAPINE MALEATE
inhibitor;ASK-8007
antagonist;ASM-024
modulator;ASM-024
antagonist;ASOPRISNIL
modulator;ASOPRISNIL
inhibitor;ASP-3026
agonist;ASP-4058
positive modulator;ASP7991
inhibitor;ASPARAGINE
substrate;ASPARAGINE
agonist;ASPARTAME
inducer;ASPARTAME
substrate;ASPARTIC ACID
blocker;ASPIRIN
inhibitor;ASPIRIN
inhibitor;AST-487
antagonist;ASTEMIZOLE
blocker;ASTEMIZOLE
inhibitor;ASTEMIZOLE
vaccine;ASTUPROTIMUT-R
inhibitor;AT-13148
antagonist;AT-406
inhibitor;AT-7519
inhibitor;AT-9283
inhibitor;ATABECESTAT
inhibitor;ATACICEPT
modulator;ATAGABALIN
antagonist;ATENOLOL
antibody;ATEZOLIZUMAB
inhibitor;ATEZOLIZUMAB
antagonist;ATICAPRANT
agonist;ATILMOTIN
binder;ATOMOXETINE
blocker;ATOMOXETINE
inhibitor;ATOMOXETINE
partial agonist;ATOMOXETINE
inhibitor;ATOMOXETINE HYDROCHLORIDE
antagonist;ATOPAXAR
agonist;ATORVASTATIN
inhibitor;ATORVASTATIN
ligand;ATORVASTATIN
inhibitor;ATORVASTATIN CALCIUM
antagonist;ATOSIBAN
inhibitor;ATOVAQUONE
antagonist;ATRACURIUM
antagonist;ATRACURIUM BESYLATE
antagonist;ATRASENTAN
antagonist;ATRASENTAN HYDROCHLORIDE
antagonist;ATROPINE
antagonist;ATROPINE SULFATE
modulator;ATX08-001
inhibitor;AUPHEN
activator;AURANOFIN
inhibitor;AURANOFIN
ligand;AURYXIA
agonist;AUS-131
antagonist;AV-101
antibody;AV-203
antagonist;AVACOPAN
inhibitor;AVAGACESTAT
inhibitor;AVANAFIL
inhibitor;AVAPRITINIB
agonist;AVATROMBOPAG
inhibitor;AVATROMBOPAG
agonist;AVE0847
antagonist;AVE-1642
agonist;AVE8134
inhibitor;AVE-9940
antagonist;AVELUMAB
antibody;AVELUMAB
agonist;AVITRIPTAN
positive modulator;AVL-3288
antagonist;AVOSENTAN
antagonist;AXELOPRAN
inhibitor;AXITINIB
inhibitor;AXL-1717
agonist;AXOMADOL
inhibitor;AZ9773
inhibitor;AZACITIDINE
inhibitor;AZALANSTAT
antagonist;AZATADINE
antagonist;AZATADINE MALEATE
inhibitor;AZATHIOPRINE
modulator;AZATHIOPRINE
inhibitor;AZATHIOPRINE SODIUM
inhibitor;AZD-0156
agonist;AZD0328
inhibitor;AZD-0424
inhibitor;AZD-1080
inhibitor;AZD-1208
inhibitor;AZD-1236
blocker;AZD1305
antagonist;AZD1386
inhibitor;AZD1386
agonist;AZD1446
inhibitor;AZD-1480
activator;AZD-1656
antagonist;AZD1981
inhibitor;AZD-2014
modulator;AZD2066
antagonist;AZD2207
allosteric modulator;AZD2423
antagonist;AZD2423
blocker;AZD3161
agonist;AZD3199
modulator;AZD3514
inhibitor;AZD-3839
inhibitor;AZD-4017
inhibitor;AZD-4547
inhibitor;AZD-4769
antagonist;AZD4818
inhibitor;AZD-4877
inhibitor;AZD-5363
inhibitor;AZD-5438
antagonist;AZD5672
positive modulator;AZD6280
inhibitor;AZD-6482
inhibitor;AZD-6703
inhibitor;AZD-6918
blocker;AZD7009
allosteric modulator;AZD7325
antagonist;AZD7325
positive modulator;AZD7325
inhibitor;AZD-7451
inhibitor;AZD-7624
inhibitor;AZD-7687
inhibitor;AZD-7762
inhibitor;AZD-8055
antagonist;AZD8108
inhibitor;AZD-8186
inhibitor;AZD-8330
antagonist;AZD8683
inhibitor;AZD-8835
antagonist;AZD9056
antagonist;AZELASTINE
inhibitor;AZELASTINE
antagonist;AZELASTINE HYDROCHLORIDE
antagonist;AZELIRAGON
agonist;AZELNIDIPINE
inhibitor;AZIDOPINE
inhibitor;AZILECT
antagonist;AZILSARTAN
antagonist;AZILSARTAN KAMEDOXOMIL
agonist;AZITHROMYCIN
inhibitor;AZITHROMYCIN
inhibitor;AZM-475271
inhibitor;BACITRACIN
agonist;BACLOFEN
inhibitor;BAFETINIB
inhibitor;BAFILOMYCIN A1
partial agonist;BALAGLITAZONE
inhibitor;BALAMAPIMOD
inhibitor;BALANOL
inhibitor;BALICATIB
antagonist;BALOVAPTAN
agonist;BALSALAZIDE
inhibitor;BALSALAZIDE
agonist;BALSALAZIDE DISODIUM
inhibitor;BALSALAZIDE DISODIUM
agonist;BALUGRASTIM
agonist;BAMBUTEROL
inhibitor;BAMBUTEROL
inhibitor;BAMINERCEPT
inhibitor;BAN2401
inhibitor;BARASERTIB
antagonist;BARBITAL
potentiator;BARBITAL
agonist;BARDOXOLONE
antagonist;BARDOXOLONE METHYL
inhibitor;BARDOXOLONE METHYL
inhibitor;BARICITINIB
antagonist;BARNIDIPINE
antagonist;BARUSIBAN
antibody;BASILIXIMAB
inhibitor;BASILIXIMAB
allosteric modulator;BASIMGLURANT
modulator;BASIMGLURANT
allosteric modulator;BASMISANIL
agonist;BATEFENTEROL
antagonist;BATEFENTEROL
inhibitor;BATIMASTAT
antagonist;BAVISANT
antibody;BAVITUXIMAB
agonist;BAY1067197
inhibitor;BAY-1082439
inhibitor;BAY-1125976
inhibitor;BAY-1161909
inhibitor;BAY-1217389
agonist,antagonist;BAZEDOXIFENE
antagonist;BAZEDOXIFENE
modulator;BAZEDOXIFENE ACETATE
antagonist;BECAMPANEL
agonist;BECAPLERMIN
inhibitor;BECATECARIN
agonist;BECLOMETHASONE DIPROPIONATE
agonist;BECOCALCIDIOL
agonist;BEDORADRINE
agonist;BEDORADRINE SULFATE
antagonist;BEFETUPITANT
agonist;BEFIRADOL
inhibitor;BEFLOXATONE
inhibitor;BEGACESTAT
antibody;BEGELOMAB
inhibitor;BEGELOMAB
antagonist;BELATACEPT
inhibitor;BELATACEPT
antibody;BELIMUMAB
inhibitor;BELIMUMAB
modulator;BELIMUMAB
inhibitor;BELINOSTAT
inhibitor;BELORANIB
inhibitor;BEMCENTINIB
antagonist;BEMIPARIN
inhibitor;BEMPEDOIC ACID
agonist;BEMPEGALDESLEUKIN
inhibitor;BENAZEPRIL
inhibitor;BENAZEPRIL HYDROCHLORIDE
inhibitor;BENAZEPRILAT
blocker;BENDAZAC
inducer;BENDROFLUMETHIAZIDE
inhibitor;BENDROFLUMETHIAZIDE
antagonist;BENIDIPINE
blocker;BENIDIPINE
inhibitor;BENOXINATE
blocker;BENOXINATE HYDROCHLORIDE
antagonist;BENPERIDOL
antibody;BENRALIZUMAB
binder;BENRALIZUMAB
inhibitor;BENRALIZUMAB
inhibitor;BENSERAZIDE
inhibitor;BENTAMAPIMOD
ligand;BENTAZEPAM
positive modulator;BENTAZEPAM
ligand;BENTIROMIDE
blocker;BENZAMIL
antagonist;BENZATROPINE
inhibitor;BENZATROPINE
inhibitor;BENZBROMARONE
inhibitor;BENZOCAINE
ligand;BENZODIAZEPINE
positive modulator;BENZODIAZEPINE
modulator;BENZOIN
inhibitor;BENZOLAMIDE
antagonist;BENZONATATE
activator;BENZOQUINONE
agonist;BENZPHETAMINE
inducer;BENZPHETAMINE
inhibitor;BENZPHETAMINE
inhibitor;BENZPHETAMINE HYDROCHLORIDE
agonist;BENZQUINAMIDE
antagonist;BENZQUINAMIDE
inhibitor;BENZQUINAMIDE
modulator;BENZQUINAMIDE HYDROCHLORIDE
inhibitor;BENZTHIAZIDE
antagonist;BENZTROPINE MESYLATE
inhibitor;BENZYLCYSTEINE
inhibitor;BENZYLPENICILLIN
inhibitor,substrate;BENZYLPENICILLIN
agonist;BENZYLPENICILLOYL POLYLYSINE
antagonist;BEPAFANT
antagonist;BEPOTASTINE
antagonist;BEPOTASTINE BESYLATE
binder;BEPRIDIL
blocker;BEPRIDIL
inhibitor;BEPRIDIL
blocker;BEPRIDIL HYDROCHLORIDE
agonist;BERAPROST
inhibitor;BERMEKIMAB
inhibitor;BERTILIMUMAB
inhibitor;BERUBICIN HYDROCHLORIDE
inhibitor;BERZOSERTIB
binder;BETA CAROTENE
agonist;BETAHISTINE
antagonist;BETAHISTINE
agonist;BETAMETHASONE
agonist;BETAMETHASONE ACETATE
agonist;BETAMETHASONE BENZOATE
agonist;BETAMETHASONE DIPROPIONATE
agonist;BETAMETHASONE PHOSPHORIC ACID
agonist;BETAMETHASONE SODIUM PHOSPHATE
agonist;BETAMETHASONE VALERATE
antagonist;BETAXOLOL
antagonist;BETAXOLOL HYDROCHLORIDE
agonist;BETAZOLE
agonist;BETAZOLE HYDROCHLORIDE
agonist;BETHANECHOL
agonist;BETHANECHOL CHLORIDE
agonist;BETHANIDINE
antagonist;BETHANIDINE
inhibitor;BETHANIDINE
inhibitor;BETRIXABAN
antibody;BEVACIZUMAB
inhibitor;BEVACIZUMAB
antagonist;BEVANTOLOL
antagonist;BEVENOPRAN
inhibitor;BEXAGLIFLOZIN
activator;BEXAROTENE
agonist;BEXAROTENE
antagonist;BEXAROTENE
agonist;BEZAFIBRATE
partial agonist;BEZAFIBRATE
inhibitor;BGT-226
inhibitor;BHQ-880
antagonist;BI113823
inhibitor;BI-2536
antagonist;BI-505
inhibitor;BI-811283
inhibitor;BI-853520
antagonist;BICALUTAMIDE
antagonist;BICUCULLINE
blocker;BICUCULLINE
partial agonist;BIFEPRUNOX
inhibitor;BIIB021
inhibitor;BIIB059
antagonist;BILASTINE
antagonist;BILOBALIDE
antagonist;BIMAGRUMAB
antibody;BIMAGRUMAB
agonist;BIMATOPROST
inhibitor;BIMIRALISIB
inhibitor;BIMOSIAMOSE
allosteric modulator;BINIMETINIB
inhibitor;BINIMETINIB
agonist;BINODENOSON
agonist;BIOALLETHRIN
blocker;BIOALLETHRIN
modulator;BIOALLETHRIN
cofactor;BIOTIN
substrate;BIOTIN
antagonist;BIPERIDEN
antagonist;BIPERIDEN HYDROCHLORIDE
antagonist;BIPERIDEN LACTATE
antagonist;BIRINAPANT
inhibitor;BIRINAPANT
inhibitor;BISMUTH SUBSALICYLATE
antagonist;BISOPROLOL
antagonist;BISOPROLOL FUMARATE
inhibitor;BITHIONOL
agonist;BITOLTEROL MESYLATE
inhibitor;BITOPERTIN
inhibitor;BIVALIRUDIN
antagonist;BKT140
cleavage;BLEOMYCIN
inhibitor;BLEOMYCIN
activator;BLINATUMOMAB
antibody;BLINATUMOMAB
inhibitor;BLISIBIMOD
antagonist;BLONANSERIN
inhibitor;BLOSOZUMAB
inhibitor;BMS-214662
activator;BMS-223131
allosteric modulator;BMS-345541
inhibitor;BMS-387032
inhibitor;BMS-582949
inhibitor;BMS-690514
inhibitor;BMS-698769
inhibitor;BMS-754807
inhibitor;BMS-777607
agonist;BMS-779788
inhibitor;BMS-794833
inhibitor;BMS-817378
antagonist;BMS-817399
inhibitor;BMS-823778
antagonist;BMS-833923
modulator;BMS-852927
inhibitor;BMS-863233
inhibitor;BMS-911543
antibody;BMS-936559
antagonist;BMS-986020
inhibitor;BMS-986142
agonist;BMY-14802
agonist;BMY-7378
antagonist;BMY-7378
antagonist;BNTX
inhibitor;BOCEPREVIR
inhibitor;BOCOCIZUMAB
inhibitor;BOHEMINE
agonist;BOLDENONE UNDECYLENATE
agonist;BOMBESIN
partial agonist;BOPINDOLOL
inhibitor;BORTEZOMIB
antagonist;BOSENTAN
inhibitor;BOSUTINIB
inhibitor;BOTULINUM TOXIN TYPE B
inhibitor;BPI-9016
allosteric modulator;BPN-14770
antagonist;BQ-123
agonist;BRADANICLINE
agonist;BRADYKININ
inhibitor;BRANEBRUTINIB
agonist;BREMELANOTIDE
antibody;BRENTUXIMAB
inhibitor;BRENTUXIMAB VEDOTIN
inhibitor;BREPOCITINIB
inhibitor;BREQUINAR
allosteric modulator;BRETAZENIL
inhibitor;BRETYLIUM
positive modulator;BREXANOLONE
agonist;BREXPIPRAZOLE
agonist,partial agonist;BREXPIPRAZOLE
antagonist;BREXPIPRAZOLE
partial agonist;BREXPIPRAZOLE
inhibitor;BRIAKINUMAB
inhibitor;BRICICLIB
binder;BRIGATINIB
inhibitor;BRIGATINIB
antagonist;BRILANESTRANT
inhibitor;BRIMAPITIDE
agonist;BRIMONIDINE
agonist;BRIMONIDINE TARTRATE
inhibitor;BRINZOLAMIDE
inhibitor;BRIVANIB
inhibitor;BRIVANIB ALANINATE
inhibitor;BRIVARACETAM
modulator;BRIVARACETAM
substrate;BRIVUDINE
agonist;BRL-15,572
antagonist;BRODALUMAB
antibody;BRODALUMAB
inhibitor;BROFAROMINE
agonist;BROLAMFETAMINE
inhibitor;BROLUCIZUMAB
ligand;BROMAZEPAM
positive modulator;BROMAZEPAM
inhibitor;BROMFENAC
inhibitor;BROMFENAC SODIUM
agonist;BROMOCRIPTINE
agonist,antagonist;BROMOCRIPTINE
antagonist;BROMOCRIPTINE
agonist;BROMOCRIPTINE MESYLATE
antagonist;BROMODIPHENHYDRAMINE
antagonist;BROMODIPHENHYDRAMINE HYDROCHLORIDE
antagonist;BROMOPRIDE
antagonist;BROMPHENIRAMINE
antagonist;BROMPHENIRAMINE MALEATE
ligand;BROTIZOLAM
positive modulator;BROTIZOLAM
allosteric modulator;BRUCINE
inhibitor;BRYOSTATIN
antagonist;BUCLIZINE
antagonist,inhibitor;BUCLIZINE
antagonist;BUCLIZINE HYDROCHLORIDE
agonist;BUDESONIDE
antagonist;BUDESONIDE
