gene_name;drug_name
ATAD5;(R)-PIA
AVPR1B;(R)-PIA
RXFP1;(R)-PIA
SLC5A7;(R)-PIA
CYP2C19;(R)-PINOCEMBRIN
CYP2C9;(R)-PINOCEMBRIN
CYP2D6;(R)-PINOCEMBRIN
CYP3A4;(R)-PINOCEMBRIN
CYP2D6;(R)-PROCYCLIDINE
NR1H4;(R)-SARGACHROMENOL
EHMT2;(R,S)-AMPA
CYP1A2;(R,S)-IFENPRODIL
CYP2D6;(R,S)-IFENPRODIL
ATAD5;(R,S)-INDATRALINE
ATXN2;(R,S)-INDATRALINE
CYP1A2;(R,S)-INDATRALINE
CYP2C19;(R,S)-INDATRALINE
CYP2D6;(R,S)-INDATRALINE
CYP3A4;(R,S)-INDATRALINE
DRD1;(R,S)-INDATRALINE
MTOR;(R,S)-INDATRALINE
NFKB1;(R,S)-INDATRALINE
THPO;(R,S)-INDATRALINE
TP53;(R,S)-INDATRALINE
CDK1;(RS)-ROSCOVITINE
CDK2;(RS)-ROSCOVITINE
CDK5;(RS)-ROSCOVITINE
CDK7;(RS)-ROSCOVITINE
CDK9;(RS)-ROSCOVITINE
CLK2;(RS)-ROSCOVITINE
CLK4;(RS)-ROSCOVITINE
CSNK1D;(RS)-ROSCOVITINE
CSNK1G1;(RS)-ROSCOVITINE
CSNK1G2;(RS)-ROSCOVITINE
DYRK1A;(RS)-ROSCOVITINE
HIPK4;(RS)-ROSCOVITINE
SRPK1;(RS)-ROSCOVITINE
CYP1A2;(S)-ALAPROCLATE
CYP2C19;(S)-ALAPROCLATE
CYP2D6;(S)-ALAPROCLATE
CYP3A4;(S)-ALAPROCLATE
CYP2C19;(S)-AMPA
CYP2C9;(S)-AMPA
CYP2D6;(S)-AMPA
GRIA2;(S)-AMPA
CYP1A2;(S)APOMORPHINE
HIF1A;(S)APOMORPHINE
HSD17B10;(S)APOMORPHINE
KDM4E;(S)APOMORPHINE
MAPT;(S)APOMORPHINE
THPO;(S)APOMORPHINE
TP53;(S)APOMORPHINE
VDR;(S)APOMORPHINE
CYP2C19;(S)-FELODIPINE
CYP2C9;(S)-FELODIPINE
CYP3A4;(S)-FELODIPINE
HSD17B10;(S)-FELODIPINE
S1PR1;(S)-FTY720P
CYP2C19;(S)-ISRADIPINE
CYP2C9;(S)-ISRADIPINE
CYP3A4;(S)-ISRADIPINE
CYP1A2;(S)-MEXILETINE
NFKB1;(S)-MEXILETINE
CYP1A2;(S)-MIDODRINE
CYP1A2;(S)-NIMODIPINE
CYP2C19;(S)-NIMODIPINE
CYP2C9;(S)-NIMODIPINE
CYP3A4;(S)-NIMODIPINE
CYP2C19;(S)-NITRENDIPINE
CYP2C9;(S)-NITRENDIPINE
CYP3A4;(S)-NITRENDIPINE
CYP1A2;(S)-ONDANSETRON
SLC5A7;(S)-ONDANSETRON
CYP1A2;(S)-PINACIDIL
CYP3A4;(S)-PINACIDIL
ALOX15;(S)-PROMETHAZINE
CYP1A2;(S)-PROMETHAZINE
CYP2D6;(S)-PROMETHAZINE
ATXN2;(S)-ROSCOVITINE
CYP1A2;(S)-ROSCOVITINE
CYP2D6;(S)-ROSCOVITINE
CYP3A4;(S)-ROSCOVITINE
NFE2L2;(S)-ROSCOVITINE
NR1H4;(S)-SARGACHROMENOL
HPGD;(S)-THIORPHAN
KAT2A;(S)-THIORPHAN
ABCC1;(S)-VERAPAMIL
CYP3A4;(S)-VERAPAMIL
TSHR;(S)-VERAPAMIL
EHMT2;(S)-WILLARDIINE
GRIA2;(S)-WILLARDIINE
AKR1B1;(S,R)-FIDARESTAT
SMAD3;(S,R)-MEFLOQUINE
CYP1A2;(Z)-PIPLARTINE
TP53;(Z)-PIPLARTINE
SERPINA1;.ALPHA.1-PROTEINASE INHIBITOR HUMAN
CES1;[1,4']BIPIPERIDINYL
MAOB;[18F]FLUORORASAGILINE
ALB;[19F]-HALOPERIDOL
EHMT2;0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE
KDM4A;0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE
VDR;0-HEXYL-1,3-DIAMINE-PLATINUM 2,2-DICHLORIDE
CA2;1,2,4-TRIAZOLE
ALDH1A1;1,2-NAPHTHOQUINONE
BAZ2B;1,2-NAPHTHOQUINONE
EHMT2;1,2-NAPHTHOQUINONE
HPGD;1,2-NAPHTHOQUINONE
HSD17B10;1,2-NAPHTHOQUINONE
KAT2A;1,2-NAPHTHOQUINONE
KDM4E;1,2-NAPHTHOQUINONE
MAPT;1,2-NAPHTHOQUINONE
RECQL;1,2-NAPHTHOQUINONE
CYP1A2;1,3-DIPROPYL-8-CYCLOPENTYLXANTHINE [DPCPX]
ARF1;1,3-PROPANEDIOL
MAN1B1;1,4-BUTANEDIOL
PLA2G2A;1,4-BUTANEDIOL
PLA2G2E;1,4-BUTANEDIOL
CASP3;1,4-DICHLOROBENZENE
ALDH1A1;1,4-DIMETHOXYANTHRAQUINONE
DUSP3;1,4-DIMETHOXYANTHRAQUINONE
ERG;1,4-DIMETHOXYANTHRAQUINONE
MAPT;1,4-DIMETHOXYANTHRAQUINONE
PLK1;1,4-DIMETHOXYANTHRAQUINONE
RAPGEF3;1,4-DIMETHOXYANTHRAQUINONE
RAPGEF4;1,4-DIMETHOXYANTHRAQUINONE
TARDBP;1,4-DIMETHOXYANTHRAQUINONE
TSG101;1,4-DIMETHOXYANTHRAQUINONE
USP1;1,4-DIMETHOXYANTHRAQUINONE
HRAS;1,6-HEXANEDIOL
NR3C1;1,6-HEXANEDIOL
PLA2G1B;1,6-HEXANEDIOL
REN;1.ALPHA.-HYDROXYVITAMIN D5
VDR;1.ALPHA.-HYDROXYVITAMIN D5
CYP3A4;12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE
HSD17B10;12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE
MAPT;12A-HYDROXY-5-DEOXYDEHYDROMUNDUSERONE
OPRK1;12-EPI-SALVINORIN A
CYP3A4;12-HYDROXY-4,4-BISNOR-4,8,11,13-PODOCARPATETRAEN-3-ONE
TOP2A;13-DEOXYDOXORUBICIN
TOP2A;13-DEOXYDOXORUBICIN
NOS1;1400W
NOS2;1400W
NOS2;1400W
NOS3;1400W
G6PD;16.ALPHA.-BROMOEPIANDROSTERONE
EHMT2;1-AMINOCYCLOPROPANE CARBOXYLIC ACID
HLA-DRA;1D09C3
HLA-DRB3;1D09C3
HLA-DRB4;1D09C3
HLA-DRB5;1D09C3
NFE2L2;1-HYDROXY-4-ETHOXYBENZENE
ESR1;1-HYDROXY-6-(4-HYDROXY-PHENYL)-1-PHENYL-HEXAN-3-ONE (ENANTIOMERIC MIX)
MB;1-METHYLIMIDAZOLE
NFE2L2;1-NAPHTHOL
AHR;1-NAPHTHYLISOTHIOCYANATE
AR;1-NAPHTHYLISOTHIOCYANATE
HSD17B10;1-NAPHTHYLISOTHIOCYANATE
NFE2L2;1-NAPHTHYLISOTHIOCYANATE
NFE2L2;1-NITROPYRENE
MAOA;1-PHENETHYLPIPERIDINE
CYP2C19;1R,9S-HYDRASTINE
CYP2C9;1R,9S-HYDRASTINE
CYP3A4;1R,9S-HYDRASTINE
TSHR;1R,9S-HYDRASTINE
CYP3A4;2- (2,6-DIMETHOXYPHENOXYETHYL)AMINOMETHYL-1,4-BENZODIOXANE HYDROCHLORIDE (WB 4101)
SLC5A7;2-(1-PHENYLETHYLIDENE)HYDRAZINECARBOXIMIDAMIDE
SMN1;2-(2'-METHOXYPHENYL)-1H-INDOLE
SMN2;2-(2'-METHOXYPHENYL)-1H-INDOLE
TARDBP;2-(2'-METHOXYPHENYL)-1H-INDOLE
NPC1;2-(PHENOXYMETHYL)BENZOTHIAZOLE
RAB9A;2-(PHENOXYMETHYL)BENZOTHIAZOLE
SMN1;2-(PHENOXYMETHYL)BENZOTHIAZOLE
SMN2;2-(PHENOXYMETHYL)BENZOTHIAZOLE
RAPGEF4;2,2',4,4',5,5'-HEXACHLOROBIPHENYL
POLRMT;2',2'-DIFLUORODEOXYCYTIDINE 5'-TRIPHOSPHATE
APOBEC3F;2,3,4,4'-TETRAMETHOXYBIPHENYL
APOBEC3G;2,3,4,4'-TETRAMETHOXYBIPHENYL
GMNN;2,3,4,4'-TETRAMETHOXYBIPHENYL
ALDH1A1;2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE
KDM4E;2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE
MAPT;2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE
POLK;2,3,4-TRIHYDROXY-4'-ETHOXYBENZOPHENONE
KDM4E;2,3,4'-TRIHYDROXY-4-METHOXYBENZOPHENONE
POLK;2,3,4'-TRIHYDROXY-4-METHOXYBENZOPHENONE
RECQL;2,3,4'-TRIHYDROXY-4-METHOXYBENZOPHENONE
AHR;2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN
DNTT;2',3'-DIDEOXYADENOSINE TRIPHOSPHATE
KDM4E;2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE
MAPT;2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE
POLK;2,3-DIHYDROXY-4-METHOXY-4'-ETHOXYBENZOPHENONE
CYP1A2;2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE
GBA;2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE
HSD17B10;2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE
SMN1;2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE
SMN2;2,3-DIHYDROXY-6,7-DICHLOROQUINOXALINE
LCN2;2,3-DIHYDROXYBENZOIC ACID
CYP3A4;2,4,6-TRIHYDROXYACETOPHENONE
NFE2L2;2,4-DIHYDROXYBENZOPHENONE
PLK1;2,4-DIHYDROXYBENZOPHENONE
RAPGEF3;2,4-DIHYDROXYBENZOPHENONE
RAPGEF4;2,4-DIHYDROXYBENZOPHENONE
TSG101;2,4-DIHYDROXYBENZOPHENONE
USP1;2,4-DIHYDROXYBENZOPHENONE
ABCB1;2',4'-DIHYDROXYCHALCONE
ALOX15;2',4'-DIHYDROXYCHALCONE
HPGD;2',4'-DIHYDROXYCHALCONE
VDR;2',4'-DIHYDROXYCHALCONE
AR;2,4-DINITROPHENOL
GPR35;2,4-DINITROPHENOL
NFE2L2;2,4-DINITROPHENOL
RORC;2,4-DINITROPHENOL
ALDH1A1;2,4-HEXADIENAL
NFE2L2;2,4-HEXADIENAL
RORC;2,4-HEXADIENAL
CHUK;2,6-DIDEHYDROPEPEROMIN B
HKDC1;2,6-DIMETHOXYQUINONE
IDH1;2,6-DIMETHOXYQUINONE
MAPT;2,6-DIMETHOXYQUINONE
PLK1;2,6-DIMETHOXYQUINONE
TP53;2,6-DIMETHOXYQUINONE
VDR;2,6-DIMETHOXYQUINONE
WRN;2,6-DIMETHOXYQUINONE
HPGD;2',BETA-DIHYDROXYCHALCONE
AR;2-ACETYLAMINOFLUORENE
NFE2L2;2-ACETYLAMINOFLUORENE
ESR1;2-AMINO-1-METHYL-6- PHENYLIMIDAZO[4,5- B]PYRIDINE
NCOA2;2-AMINO-1-METHYL-6- PHENYLIMIDAZO[4,5- B]PYRIDINE
ALDH1A1;2-AMINOANTHRACENE
HSD17B10;2-AMINOANTHRACENE
NFE2L2;2-AMINOANTHRACENE
TP53;2-AMINOANTHRACENE
ALDH1A1;2-ARACHIDONOYLGLYCEROL
CNR1;2-ARACHIDONOYLGLYCEROL
CNR2;2-ARACHIDONOYLGLYCEROL
CNR2;2-ARACHIDONOYLGLYCEROL
GPR55;2-ARACHIDONOYLGLYCEROL
HPGD;2-ARACHIDONOYLGLYCEROL
VDR;2-ARACHIDONOYLGLYCEROL
HPGD;2-BENZOYL-5-METHOXYBENZOQUINONE
HSD17B10;2-BENZOYL-5-METHOXYBENZOQUINONE
MAPT;2-BENZOYL-5-METHOXYBENZOQUINONE
USP1;2-BENZOYL-5-METHOXYBENZOQUINONE
VDR;2-BENZOYL-5-METHOXYBENZOQUINONE
NFE2L2;2-BROMOETHANOL
MAPK14;2-CHLOROPHENOL
NR1H4;2'-EPI-TUBERATOLIDE B
ALDH1A1;2-ETHOXYCARBONYL-2-ETHOXYOXALOYLOXYDIHYDROCHRYSIN DIMETHYL ETHER
ADH1C;2-ETHOXYETHANOL
CYP1B1;2'H,4H-[2,5'-BICHROMEN]-4-ONE
CYP1B1;2'H,4H-[2,8'-BICHROMEN]-4-ONE
ABCB1;2'-HYDROXYCHALCONE
CRYZ;2'-HYDROXYCHALCONE
EHMT2;2'-HYDROXYCHALCONE
GMNN;2'-HYDROXYCHALCONE
NFE2L2;2'-HYDROXYCHALCONE
VDR;2'-HYDROXYCHALCONE
AR;2-MERCAPTOBENZIMIDAZOLE
CYP3A4;2-MERCAPTOBENZIMIDAZOLE
EHMT2;2-MERCAPTOBENZIMIDAZOLE
ALDH1A1;2-MERCAPTOBENZOTHIAZOLE
EHMT2;2-MERCAPTOBENZOTHIAZOLE
HPGD;2-MERCAPTOBENZOTHIAZOLE
IDO1;2-MERCAPTOBENZOTHIAZOLE
KAT2A;2-MERCAPTOBENZOTHIAZOLE
KDM4E;2-MERCAPTOBENZOTHIAZOLE
NFE2L2;2-MERCAPTOBENZOTHIAZOLE
TPO;2-MERCAPTOBENZOTHIAZOLE
VDR;2-MERCAPTOBENZOTHIAZOLE
GLO1;2-MERCAPTOETHANOL
LGALS1;2-MERCAPTOETHANOL
PNPO;2-MERCAPTOETHANOL
SCMH1;2-MERCAPTOETHANOL
SERPINA1;2-MERCAPTOETHANOL
BAZ2B;2-MERCAPTONICOTINIC ACID
EHMT2;2-MERCAPTONICOTINIC ACID
KDM4A;2-MERCAPTONICOTINIC ACID
KDM4E;2-MERCAPTONICOTINIC ACID
CTSB;2-MERCAPTOPYRIDINE
JUN;2-MERCAPTOPYRIMIDINE
ATAD5;2-METHOXY-1,4-NAPHTHOQUINONE
FEN1;2-METHOXY-1,4-NAPHTHOQUINONE
GMNN;2-METHOXY-1,4-NAPHTHOQUINONE
IDH1;2-METHOXY-1,4-NAPHTHOQUINONE
NFE2L2;2-METHOXY-1,4-NAPHTHOQUINONE
POLI;2-METHOXY-1,4-NAPHTHOQUINONE
SMAD3;2-METHOXY-1,4-NAPHTHOQUINONE
USP1;2-METHOXY-1,4-NAPHTHOQUINONE
CYP3A4;2-METHOXY-5 (6)EPOXY-TETRAHYDROCARYOPHYLLENE
ATF2;2-METHOXYESTRADIOL
COMT;2-METHOXYESTRADIOL
CTGF;2-METHOXYESTRADIOL
CYP19A1;2-METHOXYESTRADIOL
CYP1A1;2-METHOXYESTRADIOL
CYP1B1;2-METHOXYESTRADIOL
EHMT2;2-METHOXYESTRADIOL
GLP1R;2-METHOXYESTRADIOL
GMNN;2-METHOXYESTRADIOL
HIF1A;2-METHOXYESTRADIOL
MAPK14;2-METHOXYESTRADIOL
MAPK8;2-METHOXYESTRADIOL
NFE2L2;2-METHOXYESTRADIOL
PTEN;2-METHOXYESTRADIOL
SETD2;2-METHOXYESTRADIOL
HSD17B10;2'-METHOXYFORMONETIN
CYP3A4;2-METHYL GRAMINE
ALDH1A1;2-METHYL-5,7,8-TRIMETHOXYISOFLAVONE
KDM4E;2-METHYLAMINOBENZOIC ACID METHYL ESTER
HRH4;2-METHYLHISTAMINE
NFE2L2;2-NITROFLUORENE
BCAT2;2-OXOISOVALERATE
TARDBP;2-PHENYL-1H-INDOLE
ALDH1A1;2-PHENYLPHENOL
HSD17B10;2-PHENYLPHENOL
NFE2L2;2-PHENYLPHENOL
PPARG;2-PHENYLPHENOL
RXRA;2-PHENYLPHENOL
BRCA1;2-PHENYLQUINOLINE
BAZ2B;2-PICOLINIC ACID
EHMT2;2-PICOLINIC ACID
KDM4A;2-PICOLINIC ACID
L3MBTL1;2-PICOLINIC ACID
ATM;2X-121
ATM;2X-121
ATR;2X-121
ATRX;2X-121
BRCA1;2X-121
BRCA1;2X-121
BRCA2;2X-121
BRCA2;2X-121
TNKS;2X-121
AR;3,3',4',5-TETRACHLOROSALICYLANILIDE
CYP1A2;3',4' DICHLOROBENZAMIL
CYP2D6;3',4' DICHLOROBENZAMIL
HSD17B10;3',4' DICHLOROBENZAMIL
TP53;3',4' DICHLOROBENZAMIL
ALDH1A1;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
ALOX15;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
HPGD;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
HSD17B10;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
KDM4E;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
MAPT;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
POLK;3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN
APEX1;3,4-DIHYDROXYPHENYLACETIC ACID 
EHMT2;3,4-DIHYDROXYPHENYLACETIC ACID 
HSD17B10;3,4-DIHYDROXYPHENYLACETIC ACID 
KDM4A;3,4-DIHYDROXYPHENYLACETIC ACID 
KDM4E;3,4-DIHYDROXYPHENYLACETIC ACID 
ABCB1;3,4-DIHYDROXYXANTHONE
ALDH1A1;3,4-DIMETHOXYBENZALDEHYDE
HPGD;3,4-DIMETHOXYDALBERGIONE
MAPT;3,4-DIMETHOXYDALBERGIONE
VDR;3,4-DIMETHOXYDALBERGIONE
CYP3A4;3',4'-DIMETHOXYFLAVONE
HSD17B10;3',4'-DIMETHOXYFLAVONE
KAT2A;3',4'-DIMETHOXYFLAVONE
ARSA;3,5-DINITROCATECHOL (OR-486)
COMT;3,5-DINITROCATECHOL (OR-486)
CYP2C9;3,5-DINITROCATECHOL (OR-486)
EHMT2;3,5-DINITROCATECHOL (OR-486)
KDM4E;3,5-DINITROCATECHOL (OR-486)
POLK;3,5-DINITROCATECHOL (OR-486)
ATAD5;3,5-DIPHENYLISOXAZOLE
NPC1;3,5-DIPHENYLISOXAZOLE
PLK1;3,5-DIPHENYLISOXAZOLE
RAB9A;3,5-DIPHENYLISOXAZOLE
CYP2C9;3,6-DIMETHOXYFLAVONE
CYP3A4;3,6-DIMETHOXYFLAVONE
HSD17B10;3,6-DIMETHOXYFLAVONE
TSHR;3,6-DIMETHOXYFLAVONE
CYP3A4;3,7-DIMETHOXYFLAVONE
HSD17B10;3,7-DIMETHOXYFLAVONE
CYP1A2;3-ACETYLCOUMARIN
CYP2C9;3-AMINOBENZAMIDE
HSD17B10;3-AMINOBENZAMIDE
CYP2A6;3-FORMYLINDOLE
CYP3A4;3-HYDROXY-3',4'-DIMETHOXYFLAVONE
HSD17B10;3-HYDROXY-3',4'-DIMETHOXYFLAVONE
KAT2A;3-HYDROXY-3',4'-DIMETHOXYFLAVONE
DAO;3-HYDROXYCOUMARIN
HPGD;3-HYDROXYCOUMARIN
ALDH1A1;3-METHOXYCATECHOL
ALOX15;3-METHOXYCATECHOL
APEX1;3-METHOXYCATECHOL
HPGD;3-METHOXYCATECHOL
HSD17B10;3-METHOXYCATECHOL
KDM4E;3-METHOXYCATECHOL
MAPT;3-METHOXYCATECHOL
POLK;3-METHOXYCATECHOL
TP53;3-METHOXYCATECHOL
VDR;3-METHOXYCATECHOL
REN;3-METHYLBUTANOL
AHR;3-METHYLCHOLANTHRENE
MAPT;3-METHYLCHOLANTHRENE
NFE2L2;3-METHYLCHOLANTHRENE
THRB;3-METHYLCHOLANTHRENE
MMP13;3-METHYLPYRIDINE
MMP3;3-METHYLPYRIDINE
ADRB2;3-O-METHYLQUERCETIN
APOBEC3F;3-O-METHYLQUERCETIN
APOBEC3G;3-O-METHYLQUERCETIN
BAZ2B;3-O-METHYLQUERCETIN
BLM;3-O-METHYLQUERCETIN
FEN1;3-O-METHYLQUERCETIN
GAA;3-O-METHYLQUERCETIN
KDM4E;3-O-METHYLQUERCETIN
POLB;3-O-METHYLQUERCETIN
POLH;3-O-METHYLQUERCETIN
POLI;3-O-METHYLQUERCETIN
POLK;3-O-METHYLQUERCETIN
RACGAP1;3-O-METHYLQUERCETIN
RECQL;3-O-METHYLQUERCETIN
WRN;3-O-METHYLQUERCETIN
PGAM2;3-PHOSPHOGLYCERIC ACID
PGK1;3-PHOSPHOGLYCERIC ACID
TPI1;3-PHOSPHOGLYCERIC ACID
ESR1;3R14S-OCHRATOXIN A
NFKB1;3R14S-OCHRATOXIN A
NR1H4;3R14S-OCHRATOXIN A
NR3C1;3R14S-OCHRATOXIN A
PPARD;3R14S-OCHRATOXIN A
PPARG;3R14S-OCHRATOXIN A
THRB;3R14S-OCHRATOXIN A
TP53;3R14S-OCHRATOXIN A
VDR;3R14S-OCHRATOXIN A
CYP3A4;4,2',4',6'-TETRAHYDROXYCHALCONE
ALOX15;4,4'-DIMETHOXYDALBERGIONE
CYP3A4;4,4'-DIMETHOXYDALBERGIONE
MAPT;4,4'-DIMETHOXYDALBERGIONE
VDR;4,4'-DIMETHOXYDALBERGIONE
CYP3A4;4,4'-METHYLENEDIANILINE
CYP3A4;4,4'-THIODIANILINE
RACGAP1;4,4'-THIODIANILINE
CYP1A2;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
CYP2D6;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
NFKB1;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
NFKB2;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
NPC1;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
RAB9A;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
RELA;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
SMN1;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
SMN2;4',7-DIMETHOXY-5-HYDROXYGENISTEIN
NSD2;4-AMINO-[1,2]NAPHTHOQUINONE
USP1;4-AMINO-[1,2]NAPHTHOQUINONE
VDR;4-AMINO-[1,2]NAPHTHOQUINONE
AR;4-AMINOPHENOL
GLS;4-AMINOPHENOL
HSD17B10;4-AMINOPHENOL
NFE2L2;4-AMINOPHENOL
POLI;4-AMINOPHENOL
POLK;4-AMINOPHENOL
SMAD3;4-AMINOPHENOL
VDR;4-AMINOPHENOL
EHMT2;4-BENZYLOXYANILINE
SMN1;4-BENZYLOXYANILINE
SMN2;4-BENZYLOXYANILINE
TSHR;4-CHLORO-BENZOIC ACID
ALDH1A1;4-CHLOROMERCURIBENZOIC ACID
ALOX15;4-CHLOROMERCURIBENZOIC ACID
ALOX15B;4-CHLOROMERCURIBENZOIC ACID
AR;4-CHLOROMERCURIBENZOIC ACID
BAZ2B;4-CHLOROMERCURIBENZOIC ACID
CASP1;4-CHLOROMERCURIBENZOIC ACID
CBX1;4-CHLOROMERCURIBENZOIC ACID
CYP2C19;4-CHLOROMERCURIBENZOIC ACID
CYP2C9;4-CHLOROMERCURIBENZOIC ACID
CYP2D6;4-CHLOROMERCURIBENZOIC ACID
CYP3A4;4-CHLOROMERCURIBENZOIC ACID
EHMT2;4-CHLOROMERCURIBENZOIC ACID
FEN1;4-CHLOROMERCURIBENZOIC ACID
GLA;4-CHLOROMERCURIBENZOIC ACID
HPGD;4-CHLOROMERCURIBENZOIC ACID
HSD17B10;4-CHLOROMERCURIBENZOIC ACID
IDH1;4-CHLOROMERCURIBENZOIC ACID
KAT2A;4-CHLOROMERCURIBENZOIC ACID
KDM4A;4-CHLOROMERCURIBENZOIC ACID
MPHOSPH8;4-CHLOROMERCURIBENZOIC ACID
NFE2L2;4-CHLOROMERCURIBENZOIC ACID
PKM;4-CHLOROMERCURIBENZOIC ACID
PLK1;4-CHLOROMERCURIBENZOIC ACID
